food_weight_g,sleep_hours,is_outlier
69.97,16.8,0
63.62,15.85,0
71.48,14.12,0
80.23,12.71,0
62.66,15.4,0
62.66,14.79,0
80.79,15.79,0
72.67,15.27,0
60.31,16.1,0
70.43,12.93,0
60.37,16.63,0
60.34,14.4,0
67.42,18.15,0
45.87,12.62,0
47.75,17.47,0
59.38,14.4,0
54.87,12.7,0
68.14,13.03,0
55.92,13.36,0
50.88,14.85,0
79.66,15.05,0
62.74,12.85,0
65.68,13.95,0
50.75,18.28,0
59.56,17.46,0
66.11,14.87,0
53.49,14.08,0
68.76,14.24,0
58.99,15.23,0
62.08,11.95,0
58.98,13.49,0
83.52,10.66,0
64.87,14.8,0
54.42,15.29,0
73.23,13.03,0
52.79,17.15,0
67.09,11.55,0
45.4,11.07,0
51.72,14.45,0
66.97,16.09,0
72.38,17.37,0
66.71,13.08,0
63.84,16.16,0
61.99,13.92,0
50.21,13.65,0
57.8,15.77,0
60.39,15.3,0
75.57,10.85,0
68.44,16.95,0
47.37,16.76,0
68.24,12.75,0
61.15,14.79,0
58.23,14.99,0
71.12,14.52,0
75.31,12.9,0
74.31,12.66,0
56.61,13.95,0
61.91,16.35,0
68.31,15.09,0
74.76,13.26,0
60.21,15.54,0
63.14,8.3,0
53.94,16.3,0
53.04,10.52,0
73.13,13.28,0
78.56,11.76,0
64.28,11.41,0
75.04,16.32,0
68.62,13.06,0
58.55,14.69,0
68.61,13.91,0
80.38,14.95,0
64.64,14.15,0
80.65,11.43,0
38.8,15.99,0
73.22,13.01,0
65.87,10.89,0
62.01,13.14,0
65.92,17.0,0
45.12,15.7,0
62.8,13.3,0
68.57,13.3,0
79.78,13.36,0
59.82,18.15,0
56.92,14.76,0
59.98,14.86,0
74.15,16.06,0
68.29,14.48,0
59.7,13.48,0
70.13,13.61,0
65.97,13.86,0
74.69,13.93,0
57.98,15.46,0
61.72,14.1,0
61.08,15.47,0
50.36,13.84,0
67.96,14.16,0
67.61,10.0,0
65.05,15.83,0
62.65,14.69,0
50.85,16.0,0
60.79,8.21,0
61.57,18.18,0
56.98,13.72,0
63.39,16.22,0
69.04,11.92,0
83.86,15.23,0
66.75,11.89,0
67.58,12.75,0
64.26,17.83,0
45.81,13.62,0
64.73,14.43,0
65.6,15.74,0
89.63,14.99,0
63.08,14.3,0
68.02,14.73,0
64.65,18.81,0
53.31,13.88,0
76.43,14.4,0
72.52,16.1,0
72.91,16.21,0
55.91,16.37,0
79.03,15.28,0
50.98,11.71,0
70.87,17.27,0
86.9,11.71,0
55.09,14.61,0
59.34,12.49,0
66.0,13.87,0
59.97,14.66,0
49.49,14.64,0
65.69,14.84,0
54.38,17.23,0
69.74,14.91,0
55.81,13.51,0
80.5,15.93,0
57.17,16.38,0
61.78,11.54,0
73.14,15.19,0
52.69,15.4,0
67.27,13.4,0
78.07,16.75,0
48.93,13.7,0
66.85,14.25,0
67.6,13.65,0
72.82,14.03,0
52.63,11.81,0
51.8,11.12,0
70.22,17.19,0
67.97,12.31,0
67.5,12.02,0
68.46,9.69,0
58.2,12.72,0
67.32,11.35,0
67.93,17.28,0
57.86,16.02,0
83.66,12.62,0
69.74,18.5,0
53.09,15.96,0
71.57,13.35,0
55.25,9.0,0
72.87,18.58,0
76.59,11.22,0
56.79,10.71,0
74.63,16.05,0
69.13,18.88,0
73.22,16.77,0
83.97,15.13,0
62.55,15.19,0
57.46,15.71,0
56.1,15.52,0
56.84,14.56,0
64.23,14.21,0
68.41,13.87,0
67.77,12.49,0
73.27,13.44,0
65.13,10.61,0
79.54,13.8,0
62.35,12.02,0
92.2,11.79,0
71.26,14.36,0
56.43,16.78,0
54.29,15.84,0
69.82,10.86,0
62.77,12.02,0
72.14,15.88,0
69.73,12.04,0
64.27,13.55,0
56.53,15.1,0
49.85,12.06,0
60.53,14.21,0
73.56,11.33,0
67.14,12.8,0
52.54,14.64,0
66.73,10.81,0
68.85,14.88,0
56.16,13.96,0
66.54,15.1,0
65.58,14.45,0
53.57,16.73,0
68.58,14.25,0
70.61,13.14,0
75.83,14.24,0
75.54,15.09,0
51.22,14.1,0
55.62,14.08,0
70.15,12.6,0
70.14,12.67,0
70.15,11.19,0
103.53,17.5,0
70.71,11.51,0
76.36,12.61,0
74.54,12.56,0
71.51,15.79,0
61.85,13.41,0
72.59,16.5,0
57.27,12.65,0
62.63,14.56,0
60.15,12.33,0
65.82,18.29,0
88.15,11.62,0
46.33,14.62,0
71.86,15.27,0
48.87,14.83,0
60.28,13.63,0
75.89,13.74,0
65.64,14.09,0
54.22,13.71,0
57.85,15.93,0
71.8,18.42,0
57.7,12.89,0
67.16,11.26,0
65.46,13.82,0
58.48,19.16,0
86.44,12.39,0
71.34,17.28,0
44.75,17.36,0
66.86,12.89,0
58.38,15.14,0
73.52,17.26,0
57.07,13.24,0
63.85,13.59,0
70.05,12.84,0
73.66,11.97,0
53.0,12.7,0
61.65,11.55,0
60.25,14.07,0
58.47,12.46,0
82.65,14.47,0
69.05,10.89,0
52.39,14.66,0
74.18,15.67,0
86.22,10.01,0
75.32,14.75,0
49.81,16.46,0
60.16,11.58,0
77.67,17.35,0
57.92,14.84,0
69.44,12.59,0
72.75,13.89,0
55.73,15.12,0
64.4,14.15,0
32.59,15.08,0
54.76,12.16,0
62.47,14.34,0
52.52,11.17,0
81.32,13.78,0
50.7,12.19,0
60.6,12.53,0
66.31,16.47,0
79.41,16.18,0
50.64,15.22,0
76.63,11.82,0
65.1,13.37,0
55.18,16.43,0
69.62,14.28,0
66.99,18.64,0
59.0,14.79,0
65.7,14.38,0
61.15,13.38,0
66.14,14.27,0
71.62,13.7,0
80.86,15.42,0
52.62,15.91,0
86.33,12.43,0
45.48,11.34,0
63.48,10.33,0
70.88,15.02,0
67.81,11.79,0
58.77,9.69,0
62.92,14.78,0
60.07,18.99,0
59.11,13.99,0
73.5,15.68,0
68.57,14.16,0
58.07,13.8,0
74.0,15.84,0
68.07,13.42,0
73.13,14.53,0
71.3,14.64,0
56.71,12.66,0
59.4,15.98,0
72.47,13.65,0
71.1,12.49,0
64.79,15.07,0
66.17,12.2,0
77.78,14.06,0
59.08,13.98,0
70.47,16.17,0
62.98,14.95,0
62.82,13.95,0
75.99,15.64,0
73.25,16.78,0
73.14,15.12,0
78.05,14.02,0
65.21,11.38,0
71.82,11.87,0
61.9,13.39,0
68.24,12.78,0
63.7,13.63,0
65.97,14.11,0
70.95,15.06,0
56.82,13.86,0
85.92,14.97,0
54.94,14.13,0
52.86,10.05,0
76.58,12.12,0
72.92,13.71,0
71.24,11.58,0
71.28,15.2,0
64.88,17.06,0
56.03,16.44,0
65.76,13.57,0
58.23,16.98,0
74.75,14.3,0
63.53,13.33,0
56.75,12.77,0
61.79,13.4,0
69.13,13.22,0
59.36,14.34,0
56.78,14.32,0
67.44,14.01,0
